Work day,Work Hours,Temperature,Humidity,Light On,CO2,HumidityRatio,Result
1,1,23.7,26.272,1,749.2,0.004764163,1
1,1,23.718,26.29,1,760.4,0.004772661,1
1,1,23.73,26.23,1,769.6666667,0.004765153,1
1,1,23.7225,26.125,1,774.75,0.004743773,1
1,1,23.754,26.2,1,779,0.004766594,1
1,1,23.76,26.26,1,790,0.004779332,1
1,1,23.73,26.29,1,798,0.004776136,1
1,1,23.754,26.29,1,797,0.004783094,1
1,1,23.754,26.35,1,803.2,0.004794094,1
1,1,23.736,26.39,1,809,0.004796189,1
1,1,23.745,26.445,1,815.25,0.004808886,1
1,1,23.7,26.56,1,824,0.004816793,1
1,1,23.7,26.6,1,832,0.004824104,1
1,1,23.7,26.7,1,845.3333333,0.004842381,1
1,1,23.7,26.774,1,852.4,0.004855906,1
1,1,23.7,26.89,1,861,0.00487711,1
1,1,23.7,26.9725,1,880,0.004892191,1
1,1,23.6,26.89,1,891,0.004847594,1
1,1,23.64,26.976,1,897.6,0.004875045,1
1,1,23.65,27.05,1,900.5,0.004891492,1
1,1,23.64,27.1,1,908.8,0.00489763,1
1,1,23.6,27.16,1,918,0.004896652,1
1,1,23.6,27.236,1,925.2,0.004910462,1
1,1,23.6,27.29,1,929.4,0.004920275,1
1,1,23.6,27.33,1,936.4,0.004927544,1
1,1,23.6,27.34,1,950,0.004929361,1
1,1,23.625,27.3925,1,961,0.004946406,1
1,1,23.6,27.39,1,963,0.004938448,1
1,1,23.6,27.412,1,958.6,0.004942446,1
1,1,23.6,27.5,1,965.3333333,0.004958439,1
1,1,23.6,27.525,1,979.25,0.004962982,1
1,1,23.6,27.6,1,978.4285714,0.004976614,1
1,1,23.6,27.6,1,983,0.004976614,1
1,1,23.6,27.54,1,992.6,0.004965709,1
1,1,23.6,27.6,1,997.2,0.004976614,1
1,1,23.61666667,27.63333333,1,999.5,0.004987718,1
1,1,23.66666667,27.7,1,1001,0.005015051,1
1,1,23.6,27.7,1,1009.5,0.00499479,1
1,1,23.6,27.7225,1,1019,0.004998879,1
