,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,1.55651302338,0.00158796310425,0.805117707267,0.805552622728,0.1,7,2,"{'NN__hidden_layer_sizes': 7, 'pca__n_components': 2, 'NN__alpha': 0.1}",52,0.808695652174,0.805502239283,0.807062436029,0.80488741044,0.814738996929,0.80104912999,0.799385875128,0.807318321392,0.795698924731,0.809006012537,0.344919457073,0.00031578119494,0.00679236908867,0.00267469944727
1,1.44620976448,0.00147252082825,0.81187308086,0.813357191842,0.1,7,3,"{'NN__hidden_layer_sizes': 7, 'pca__n_components': 3, 'NN__alpha': 0.1}",46,0.811764705882,0.814971209213,0.816786079836,0.813203684749,0.82088024565,0.811796315251,0.806038894575,0.810900716479,0.803891449053,0.815914033517,0.647447099632,0.000237345972114,0.00637165442343,0.00187811942075
2,3.60364217758,0.00133199691772,0.814124872057,0.815404297674,0.1,7,4,"{'NN__hidden_layer_sizes': 7, 'pca__n_components': 4, 'NN__alpha': 0.1}",43,0.808184143223,0.816634676903,0.811156601842,0.81627430911,0.825997952917,0.811412487206,0.814227226203,0.816018423746,0.811059907834,0.816681591403,0.712929810175,0.000171534133482,0.00623683689524,0.00201066824037
3,3.24810242653,0.0012601852417,0.817297850563,0.822390056525,0.1,7,5,"{'NN__hidden_layer_sizes': 7, 'pca__n_components': 5, 'NN__alpha': 0.1}",37,0.805626598465,0.824056301983,0.818833162743,0.821903787103,0.829068577277,0.822799385875,0.816786079836,0.822543500512,0.816180235535,0.820647307151,0.395982198775,6.02004976553e-05,0.00746599440452,0.00111723791846
4,3.53874692917,0.0014307975769,0.822927328557,0.829631455222,0.1,7,6,"{'NN__hidden_layer_sizes': 7, 'pca__n_components': 6, 'NN__alpha': 0.1}",35,0.818414322251,0.830070377479,0.817297850563,0.827789150461,0.835209825998,0.825870010235,0.826509723644,0.831627430911,0.817204301075,0.832800307023,1.24374357308,0.000125594906609,0.0070497978866,0.00252034714504
5,3.72972221375,0.0015823841095,0.830910951894,0.836514758451,0.1,7,7,"{'NN__hidden_layer_sizes': 7, 'pca__n_components': 7, 'NN__alpha': 0.1}",29,0.827621483376,0.837492002559,0.827533265097,0.83917604913,0.839815762538,0.830603889458,0.832139201638,0.83457011259,0.827444956477,0.840731738519,1.63667159876,0.000102096280857,0.00479679341238,0.00359278206409
6,2.80600209236,0.00157256126404,0.835107471853,0.841786059168,0.1,7,8,"{'NN__hidden_layer_sizes': 7, 'pca__n_components': 8, 'NN__alpha': 0.1}",28,0.834782608696,0.843122200896,0.82241555783,0.841862845445,0.844933469806,0.838920163767,0.836745138178,0.841095189355,0.836661546339,0.84392989638,0.739692681814,0.000119699272255,0.00725032923263,0.00173654060643
7,3.02059235573,0.00175666809082,0.837256908905,0.844165858532,0.1,7,9,"{'NN__hidden_layer_sizes': 7, 'pca__n_components': 9, 'NN__alpha': 0.1}",22,0.833759590793,0.845425463852,0.827533265097,0.845701125896,0.849027635619,0.844933469806,0.844933469806,0.841095189355,0.831029185868,0.843674043751,0.666595475707,0.000233599598912,0.00828288624266,0.0016854536172
8,4.13672823906,0.00161633491516,0.841555783009,0.849513836482,0.1,7,10,"{'NN__hidden_layer_sizes': 7, 'pca__n_components': 10, 'NN__alpha': 0.1}",15,0.840920716113,0.852079334613,0.832139201638,0.852482088025,0.850562947799,0.846980552712,0.845445240532,0.844677584442,0.838709677419,0.851349622617,1.46037326708,0.000110696757783,0.00621978440136,0.00311670560255
9,2.77074999809,0.00182795524597,0.844524053224,0.850741971642,0.1,7,11,"{'NN__hidden_layer_sizes': 7, 'pca__n_components': 11, 'NN__alpha': 0.1}",5,0.845524296675,0.850031989763,0.834698055271,0.851202661208,0.853121801433,0.851458546571,0.845957011259,0.847236438076,0.84331797235,0.853780222592,0.901790690493,0.00014734692552,0.00591573772881,0.00213305054751
10,2.56925435066,0.00161700248718,0.843091095189,0.851560886658,0.1,7,12,"{'NN__hidden_layer_sizes': 7, 'pca__n_components': 12, 'NN__alpha': 0.1}",10,0.841943734015,0.852719129878,0.840839303992,0.854529170931,0.845445240532,0.849411463664,0.843398157625,0.847876151484,0.84383000512,0.853268517334,0.211211677865,5.68515888433e-05,0.00158553909291,0.00250062127955
11,3.03068180084,0.00174221992493,0.845752302968,0.854734094347,0.1,7,13,"{'NN__hidden_layer_sizes': 7, 'pca__n_components': 13, 'NN__alpha': 0.1}",2,0.847058823529,0.859117082534,0.837768679632,0.85286591607,0.853121801433,0.85440122825,0.850051177073,0.856576253838,0.8407578085,0.850709991045,1.65278860544,0.000131457925005,0.00571258516304,0.00291199019002
12,3.42306199074,0.00218081474304,0.841146366428,0.85202152613,0.1,7,14,"{'NN__hidden_layer_sizes': 7, 'pca__n_components': 14, 'NN__alpha': 0.1}",17,0.837851662404,0.851055662188,0.831115660184,0.856320368475,0.854145342886,0.85286591607,0.846468781986,0.850051177073,0.836149513569,0.849814506844,1.09851026643,0.000477325808963,0.00816985868086,0.00240329534461
13,1.50636720657,0.00118646621704,0.806857727738,0.806064386908,0.01,7,2,"{'NN__hidden_layer_sizes': 7, 'pca__n_components': 2, 'NN__alpha': 0.01}",50,0.810230179028,0.805502239283,0.807062436029,0.80565506653,0.818321392016,0.802712384852,0.803480040942,0.80719037871,0.795186891961,0.809261865166,0.289241658684,0.000111417836097,0.00762081650236,0.00215458560549
14,1.56217980385,0.00127339363098,0.811463664278,0.813510739429,0.01,7,3,"{'NN__hidden_layer_sizes': 7, 'pca__n_components': 3, 'NN__alpha': 0.01}",48,0.813810741688,0.815227127319,0.813715455476,0.813075742068,0.818833162743,0.811924257932,0.805527123849,0.811796315251,0.805427547363,0.815530254573,0.212477913462,8.89551188973e-05,0.00522590157367,0.00159184329093
15,3.56147780418,0.00137896537781,0.817297850563,0.814431910376,0.01,7,4,"{'NN__hidden_layer_sizes': 7, 'pca__n_components': 4, 'NN__alpha': 0.01}",37,0.809207161125,0.816250799744,0.820368474923,0.813203684749,0.823439099284,0.810644831116,0.821392016377,0.814866939611,0.812083973374,0.817193296661,0.825442062157,0.000162249643151,0.00559587745267,0.00232264378236
16,3.24332437515,0.00139660835266,0.816376663255,0.822697125518,0.01,7,5,"{'NN__hidden_layer_sizes': 7, 'pca__n_components': 5, 'NN__alpha': 0.01}",40,0.80716112532,0.825591810621,0.820368474923,0.823055271238,0.824974411464,0.82164790174,0.815762538383,0.821264073695,0.813620071685,0.821926570296,0.983823510134,0.000124818936957,0.00604644514415,0.00156561384862
