,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.0826690196991,0.000796635945638,0.240902809765,0.240902809765,0.1,"(5, 2)",2,"{'NN__hidden_layer_sizes': (5, 2), 'km__n_clusters': 2, 'NN__alpha': 0.1}",241,0.240902809765,0.240902809765,0.240902809765,0.240902809765,0.240902809765,0.240902809765,0.00106704939374,3.23601930483e-06,0.0,2.77555756156e-17
1,0.144954919815,0.000862757364909,0.756333486872,0.755258713343,0.1,"(5, 2)",3,"{'NN__hidden_layer_sizes': (5, 2), 'km__n_clusters': 3, 'NN__alpha': 0.1}",166,0.750806080147,0.747581759558,0.759097190235,0.759097190235,0.759097190235,0.759097190235,0.0165858199656,1.60034740493e-05,0.00390846677763,0.00542842608004
2,0.132864077886,0.0010019938151,0.240902809765,0.240902809765,0.1,"(5, 2)",4,"{'NN__hidden_layer_sizes': (5, 2), 'km__n_clusters': 4, 'NN__alpha': 0.1}",241,0.240902809765,0.240902809765,0.240902809765,0.240902809765,0.240902809765,0.240902809765,0.0185837989015,7.65657385166e-05,0.0,2.77555756156e-17
3,0.195939699809,0.000956694285075,0.768309534777,0.766927683095,0.1,"(5, 2)",5,"{'NN__hidden_layer_sizes': (5, 2), 'km__n_clusters': 5, 'NN__alpha': 0.1}",53,0.752187931829,0.753800092123,0.800552740673,0.789267618609,0.752187931829,0.757715338554,0.0102019941662,4.61627188729e-06,0.0227993895362,0.0158773807184
4,0.188784042994,0.0010392665863,0.240902809765,0.240902809765,0.1,"(5, 2)",6,"{'NN__hidden_layer_sizes': (5, 2), 'km__n_clusters': 6, 'NN__alpha': 0.1}",241,0.240902809765,0.240902809765,0.240902809765,0.240902809765,0.240902809765,0.240902809765,0.00664369455799,7.37144083023e-05,0.0,2.77555756156e-17
5,0.21946199735,0.00104133288066,0.240902809765,0.240902809765,0.1,"(5, 2)",7,"{'NN__hidden_layer_sizes': (5, 2), 'km__n_clusters': 7, 'NN__alpha': 0.1}",241,0.240902809765,0.240902809765,0.240902809765,0.240902809765,0.240902809765,0.240902809765,0.0178157232549,2.62883438575e-05,0.0,2.77555756156e-17
6,0.248630682627,0.0010773340861,0.240902809765,0.240902809765,0.1,"(5, 2)",8,"{'NN__hidden_layer_sizes': (5, 2), 'km__n_clusters': 8, 'NN__alpha': 0.1}",241,0.240902809765,0.240902809765,0.240902809765,0.240902809765,0.240902809765,0.240902809765,0.0357213750511,1.9095659613e-05,0.0,2.77555756156e-17
7,0.342110713323,0.00124295552572,0.757561799478,0.758329494856,0.1,"(5, 2)",9,"{'NN__hidden_layer_sizes': (5, 2), 'km__n_clusters': 9, 'NN__alpha': 0.1}",156,0.784431137725,0.785812989406,0.729157070474,0.730078304929,0.759097190235,0.759097190235,0.0555522997665,7.93095340934e-05,0.0225916458922,0.0227600641562
8,0.29479598999,0.00115338961283,0.240902809765,0.240902809765,0.1,"(5, 2)",10,"{'NN__hidden_layer_sizes': (5, 2), 'km__n_clusters': 10, 'NN__alpha': 0.1}",241,0.240902809765,0.240902809765,0.240902809765,0.240902809765,0.240902809765,0.240902809765,0.0466579869161,2.06323543958e-06,0.0,2.77555756156e-17
9,0.319218635559,0.00120027860006,0.759097190235,0.759097190235,0.1,"(5, 2)",11,"{'NN__hidden_layer_sizes': (5, 2), 'km__n_clusters': 11, 'NN__alpha': 0.1}",97,0.759097190235,0.759097190235,0.759097190235,0.759097190235,0.759097190235,0.759097190235,0.0255734956255,8.56833901211e-06,1.11022302463e-16,0.0
10,0.29235625267,0.00123882293701,0.240902809765,0.240902809765,0.1,"(5, 2)",12,"{'NN__hidden_layer_sizes': (5, 2), 'km__n_clusters': 12, 'NN__alpha': 0.1}",241,0.240902809765,0.240902809765,0.240902809765,0.240902809765,0.240902809765,0.240902809765,0.0162749238157,5.29911774895e-06,0.0,2.77555756156e-17
11,0.395987351735,0.00133140881856,0.771994472593,0.778059266083,0.1,"(5, 2)",13,"{'NN__hidden_layer_sizes': (5, 2), 'km__n_clusters': 13, 'NN__alpha': 0.1}",41,0.773376324275,0.786043298019,0.76784891755,0.769000460617,0.774758175956,0.779134039613,0.0371813176507,5.6322769467e-05,0.00298514080995,0.00699909185938
12,0.376960674922,0.00143202145894,0.759097190235,0.759097190235,0.1,"(5, 2)",14,"{'NN__hidden_layer_sizes': (5, 2), 'km__n_clusters': 14, 'NN__alpha': 0.1}",97,0.759097190235,0.759097190235,0.759097190235,0.759097190235,0.759097190235,0.759097190235,0.0215779412435,8.24878515949e-05,1.11022302463e-16,0.0
13,0.399437348048,0.00144608815511,0.751266697374,0.749731306618,0.1,"(5, 2)",15,"{'NN__hidden_layer_sizes': (5, 2), 'km__n_clusters': 15, 'NN__alpha': 0.1}",189,0.749424228466,0.752187931829,0.759557807462,0.758175955781,0.744818056195,0.738830032243,0.0141290662923,5.07278444614e-05,0.00615689779081,0.00808671523554
14,0.0808163483938,0.000770727793376,0.240902809765,0.240902809765,0.1,"(5,)",2,"{'NN__hidden_layer_sizes': (5,), 'km__n_clusters': 2, 'NN__alpha': 0.1}",241,0.240902809765,0.240902809765,0.240902809765,0.240902809765,0.240902809765,0.240902809765,0.00203987779385,2.04552704773e-05,0.0,2.77555756156e-17
