,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.0916483402252,0.00077231725057,0.415016121603,0.414632273914,0.1,6,2,"{'NN__hidden_layer_sizes': 6, 'km__n_clusters': 2, 'NN__alpha': 0.1}",49,0.763242745279,0.762091202211,0.240902809765,0.240902809765,0.240902809765,0.240902809765,0.0242701864766,1.19055542877e-05,0.246233406991,0.245690564383
1,0.0974187056224,0.000801642735799,0.759097190235,0.759097190235,0.1,6,3,"{'NN__hidden_layer_sizes': 6, 'km__n_clusters': 3, 'NN__alpha': 0.1}",17,0.759097190235,0.759097190235,0.759097190235,0.759097190235,0.759097190235,0.759097190235,0.00315289005709,1.24120222762e-05,1.11022302463e-16,0.0
2,0.112090667089,0.000851631164551,0.759097190235,0.759097190235,0.1,6,4,"{'NN__hidden_layer_sizes': 6, 'km__n_clusters': 4, 'NN__alpha': 0.1}",17,0.759097190235,0.759097190235,0.759097190235,0.759097190235,0.759097190235,0.759097190235,0.0136485628657,2.56518891455e-05,1.11022302463e-16,0.0
3,0.168907960256,0.000872373580933,0.423153692615,0.423844618455,0.1,6,5,"{'NN__hidden_layer_sizes': 6, 'km__n_clusters': 5, 'NN__alpha': 0.1}",45,0.240902809765,0.240902809765,0.240902809765,0.240902809765,0.787655458314,0.789728235836,0.034662799982,4.06478622835e-06,0.25774167028,0.258718786975
4,0.17245499293,0.000920375188192,0.742822048211,0.744510978044,0.1,6,6,"{'NN__hidden_layer_sizes': 6, 'km__n_clusters': 6, 'NN__alpha': 0.1}",33,0.759097190235,0.759557807462,0.721326577614,0.726623675725,0.748042376785,0.747351450944,0.012536121999,2.68566532909e-06,0.015855465246,0.0135944957742
5,0.193612337112,0.00100835164388,0.714263780132,0.718793182865,0.1,6,7,"{'NN__hidden_layer_sizes': 6, 'km__n_clusters': 7, 'NN__alpha': 0.1}",37,0.714417319208,0.711653615845,0.695992630124,0.71649009673,0.732381391064,0.72823583602,0.0103700553703,6.68959462532e-05,0.0148560461623,0.00696278970881
6,0.241190354029,0.00102194150289,0.596345769998,0.596576078612,0.1,6,8,"{'NN__hidden_layer_sizes': 6, 'km__n_clusters': 8, 'NN__alpha': 0.1}",41,0.77245508982,0.777291570705,0.77567941041,0.771533855366,0.240902809765,0.240902809765,0.0167561128006,4.96053267617e-06,0.251339574474,0.251509964615
7,0.253234783808,0.00105969111125,0.759097190235,0.759250729311,0.1,6,9,"{'NN__hidden_layer_sizes': 6, 'km__n_clusters': 9, 'NN__alpha': 0.1}",17,0.759097190235,0.759557807462,0.759097190235,0.759097190235,0.759097190235,0.759097190235,0.00698834691694,2.01218626526e-05,1.11022302463e-16,0.000217137043202
8,0.239537000656,0.00109831492106,0.240902809765,0.240902809765,0.1,6,10,"{'NN__hidden_layer_sizes': 6, 'km__n_clusters': 10, 'NN__alpha': 0.1}",53,0.240902809765,0.240902809765,0.240902809765,0.240902809765,0.240902809765,0.240902809765,0.0192658717651,8.39859314831e-06,0.0,2.77555756156e-17
9,0.312404712041,0.00119495391846,0.785966528481,0.784738215876,0.1,6,11,"{'NN__hidden_layer_sizes': 6, 'km__n_clusters': 11, 'NN__alpha': 0.1}",1,0.759097190235,0.759097190235,0.79778903731,0.791570704744,0.8010133579,0.803546752649,0.0276946470403,8.76959150209e-05,0.0190450354716,0.0187785884772
