,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.0271590550741,0.000388383865356,0.478672985782,0.478672947423,0.1,2,2,"{'NN__hidden_layer_sizes': 2, 'km__n_clusters': 2, 'NN__alpha': 0.1}",33,0.478753541076,0.478632478632,0.478632478632,0.478693181818,0.478632478632,0.478693181818,0.00032341515163,2.30523355676e-05,5.71232470904e-05,2.86157561669e-05
1,0.0386563142141,0.000370264053345,0.403791469194,0.399917983251,0.1,2,3,"{'NN__hidden_layer_sizes': 2, 'km__n_clusters': 3, 'NN__alpha': 0.1}",41,0.320113314448,0.31339031339,0.307692307692,0.313920454545,0.584045584046,0.572443181818,0.00461392401447,3.25159590172e-06,0.127378797018,0.121993929816
2,0.0424353281657,0.000377019246419,0.488151658768,0.472545972546,0.1,2,4,"{'NN__hidden_layer_sizes': 2, 'km__n_clusters': 4, 'NN__alpha': 0.1}",29,0.501416430595,0.508547008547,0.441595441595,0.403409090909,0.521367521368,0.505681818182,0.00142878036041,2.53317792424e-06,0.0338683513081,0.0489011494808
3,0.0461087226868,0.00037956237793,0.521327014218,0.521327052577,0.1,2,5,"{'NN__hidden_layer_sizes': 2, 'km__n_clusters': 5, 'NN__alpha': 0.1}",17,0.521246458924,0.521367521368,0.521367521368,0.521306818182,0.521367521368,0.521306818182,0.00132045001342,2.48535406925e-06,5.71232470904e-05,2.86157561669e-05
4,0.0465603669484,0.000377416610718,0.521327014218,0.521327052577,0.1,2,6,"{'NN__hidden_layer_sizes': 2, 'km__n_clusters': 6, 'NN__alpha': 0.1}",17,0.521246458924,0.521367521368,0.521367521368,0.521306818182,0.521367521368,0.521306818182,0.00445330504188,6.03470659465e-06,5.71232470904e-05,2.86157561669e-05
5,0.0553620656331,0.000375827153524,0.509952606635,0.518960977294,0.1,2,7,"{'NN__hidden_layer_sizes': 2, 'km__n_clusters': 7, 'NN__alpha': 0.1}",25,0.532577903683,0.522792022792,0.415954415954,0.480113636364,0.581196581197,0.553977272727,0.00335484429937,1.46109074838e-06,0.0692792331654,0.0302761388602
6,0.0593376954397,0.000386317571004,0.529857819905,0.539752492877,0.1,2,8,"{'NN__hidden_layer_sizes': 2, 'km__n_clusters': 8, 'NN__alpha': 0.1}",13,0.478753541076,0.478632478632,0.478632478632,0.478693181818,0.632478632479,0.661931818182,0.00909276420595,7.94410641963e-06,0.0724607423402,0.0863938329978
7,0.0606470108032,0.000390291213989,0.454976303318,0.451201383493,0.1,2,9,"{'NN__hidden_layer_sizes': 2, 'km__n_clusters': 9, 'NN__alpha': 0.1}",37,0.481586402266,0.468660968661,0.475783475783,0.461647727273,0.407407407407,0.423295454545,0.00550044692006,4.98973120128e-06,0.0336719961552,0.019939107996
8,0.0643640359243,0.00038997332255,0.598104265403,0.59141360183,0.1,2,10,"{'NN__hidden_layer_sizes': 2, 'km__n_clusters': 10, 'NN__alpha': 0.1}",9,0.541076487252,0.532763532764,0.518518518519,0.521306818182,0.735042735043,0.720170454545,0.0125555325147,6.5852268492e-06,0.0971304570883,0.0911649034007
9,0.0678269863129,0.000397046407064,0.605687203791,0.601934138392,0.1,2,11,"{'NN__hidden_layer_sizes': 2, 'km__n_clusters': 11, 'NN__alpha': 0.1}",5,0.651558073654,0.64245014245,0.635327635328,0.643465909091,0.529914529915,0.519886363636,0.00376891354337,5.6732712738e-06,0.0539123297448,0.058018019915
10,0.063797712326,0.000399986902873,0.611374407583,0.610490589657,0.1,2,12,"{'NN__hidden_layer_sizes': 2, 'km__n_clusters': 12, 'NN__alpha': 0.1}",1,0.685552407932,0.678062678063,0.626780626781,0.632102272727,0.521367521368,0.521306818182,0.00417445287038,4.44053492378e-06,0.0679362966911,0.0657946225543
11,0.0265260537465,0.000417311986287,0.478672985782,0.478672947423,0.01,2,2,"{'NN__hidden_layer_sizes': 2, 'km__n_clusters': 2, 'NN__alpha': 0.01}",33,0.478753541076,0.478632478632,0.478632478632,0.478693181818,0.478632478632,0.478693181818,0.000848393775001,7.88691959018e-05,5.71232470904e-05,2.86157561669e-05
12,0.0387403170268,0.000372012456258,0.403791469194,0.399917983251,0.01,2,3,"{'NN__hidden_layer_sizes': 2, 'km__n_clusters': 3, 'NN__alpha': 0.01}",41,0.320113314448,0.31339031339,0.307692307692,0.313920454545,0.584045584046,0.572443181818,0.00525503142406,1.06131235949e-05,0.127378797018,0.121993929816
13,0.0421783129374,0.000395774841309,0.488151658768,0.472545972546,0.01,2,4,"{'NN__hidden_layer_sizes': 2, 'km__n_clusters': 4, 'NN__alpha': 0.01}",29,0.501416430595,0.508547008547,0.441595441595,0.403409090909,0.521367521368,0.505681818182,0.00137293744466,2.38331142923e-05,0.0338683513081,0.0489011494808
14,0.0446603298187,0.000383297602336,0.521327014218,0.521327052577,0.01,2,5,"{'NN__hidden_layer_sizes': 2, 'km__n_clusters': 5, 'NN__alpha': 0.01}",17,0.521246458924,0.521367521368,0.521367521368,0.521306818182,0.521367521368,0.521306818182,0.000541827645034,1.33405557799e-05,5.71232470904e-05,2.86157561669e-05
15,0.0464779535929,0.000381787618001,0.521327014218,0.521327052577,0.01,2,6,"{'NN__hidden_layer_sizes': 2, 'km__n_clusters': 6, 'NN__alpha': 0.01}",17,0.521246458924,0.521367521368,0.521367521368,0.521306818182,0.521367521368,0.521306818182,0.00390001154712,5.61957980145e-07,5.71232470904e-05,2.86157561669e-05
16,0.0557576815287,0.000385363896688,0.509952606635,0.518960977294,0.01,2,7,"{'NN__hidden_layer_sizes': 2, 'km__n_clusters': 7, 'NN__alpha': 0.01}",25,0.532577903683,0.522792022792,0.415954415954,0.480113636364,0.581196581197,0.553977272727,0.00381299708811,1.61590037597e-05,0.0692792331654,0.0302761388602
17,0.0589439868927,0.000401655832926,0.529857819905,0.539752492877,0.01,2,8,"{'NN__hidden_layer_sizes': 2, 'km__n_clusters': 8, 'NN__alpha': 0.01}",13,0.478753541076,0.478632478632,0.478632478632,0.478693181818,0.632478632479,0.661931818182,0.00779394902875,9.36903786906e-06,0.0724607423402,0.0863938329978
18,0.0618780454,0.000399351119995,0.454976303318,0.451201383493,0.01,2,9,"{'NN__hidden_layer_sizes': 2, 'km__n_clusters': 9, 'NN__alpha': 0.01}",37,0.481586402266,0.468660968661,0.475783475783,0.461647727273,0.407407407407,0.423295454545,0.00588389827127,6.06914618557e-06,0.0336719961552,0.019939107996
19,0.0651699701945,0.00040070215861,0.598104265403,0.59141360183,0.01,2,10,"{'NN__hidden_layer_sizes': 2, 'km__n_clusters': 10, 'NN__alpha': 0.01}",9,0.541076487252,0.532763532764,0.518518518519,0.521306818182,0.735042735043,0.720170454545,0.0119531945869,1.60837832397e-05,0.0971304570883,0.0911649034007
20,0.0703680515289,0.000456015268962,0.605687203791,0.601934138392,0.01,2,11,"{'NN__hidden_layer_sizes': 2, 'km__n_clusters': 11, 'NN__alpha': 0.01}",5,0.651558073654,0.64245014245,0.635327635328,0.643465909091,0.529914529915,0.519886363636,0.00278350702429,5.6381275234e-05,0.0539123297448,0.058018019915
21,0.0637789567312,0.000421047210693,0.611374407583,0.610490589657,0.01,2,12,"{'NN__hidden_layer_sizes': 2, 'km__n_clusters': 12, 'NN__alpha': 0.01}",1,0.685552407932,0.678062678063,0.626780626781,0.632102272727,0.521367521368,0.521306818182,0.00376064256902,1.89898564832e-05,0.0679362966911,0.0657946225543
22,0.0302877426147,0.000380674997965,0.478672985782,0.478672947423,0.001,2,2,"{'NN__hidden_layer_sizes': 2, 'km__n_clusters': 2, 'NN__alpha': 0.001}",33,0.478753541076,0.478632478632,0.478632478632,0.478693181818,0.478632478632,0.478693181818,0.00513659514723,2.17831034728e-05,5.71232470904e-05,2.86157561669e-05
23,0.0380772749583,0.000377257664998,0.403791469194,0.399917983251,0.001,2,3,"{'NN__hidden_layer_sizes': 2, 'km__n_clusters': 3, 'NN__alpha': 0.001}",41,0.320113314448,0.31339031339,0.307692307692,0.313920454545,0.584045584046,0.572443181818,0.00491147434929,1.64334040014e-05,0.127378797018,0.121993929816
24,0.0415950616201,0.000372330347697,0.488151658768,0.472545972546,0.001,2,4,"{'NN__hidden_layer_sizes': 2, 'km__n_clusters': 4, 'NN__alpha': 0.001}",29,0.501416430595,0.508547008547,0.441595441595,0.403409090909,0.521367521368,0.505681818182,0.00150378965547,5.22832368323e-06,0.0338683513081,0.0489011494808
25,0.0439286231995,0.000367085138957,0.521327014218,0.521327052577,0.001,2,5,"{'NN__hidden_layer_sizes': 2, 'km__n_clusters': 5, 'NN__alpha': 0.001}",17,0.521246458924,0.521367521368,0.521367521368,0.521306818182,0.521367521368,0.521306818182,0.000382622873299,1.46109074838e-06,5.71232470904e-05,2.86157561669e-05
26,0.0467327435811,0.000415325164795,0.521327014218,0.521327052577,0.001,2,6,"{'NN__hidden_layer_sizes': 2, 'km__n_clusters': 6, 'NN__alpha': 0.001}",17,0.521246458924,0.521367521368,0.521367521368,0.521306818182,0.521367521368,0.521306818182,0.00370219631509,3.08755895475e-05,5.71232470904e-05,2.86157561669e-05
27,0.0567363897959,0.000398238499959,0.509952606635,0.518960977294,0.001,2,7,"{'NN__hidden_layer_sizes': 2, 'km__n_clusters': 7, 'NN__alpha': 0.001}",25,0.532577903683,0.522792022792,0.415954415954,0.480113636364,0.581196581197,0.553977272727,0.00396404632926,1.09712851301e-05,0.0692792331654,0.0302761388602
28,0.0596812566121,0.00038735071818,0.529857819905,0.539752492877,0.001,2,8,"{'NN__hidden_layer_sizes': 2, 'km__n_clusters': 8, 'NN__alpha': 0.001}",13,0.478753541076,0.478632478632,0.478632478632,0.478693181818,0.632478632479,0.661931818182,0.00850457488647,2.59232623264e-06,0.0724607423402,0.0863938329978
29,0.059852997462,0.000384648640951,0.454976303318,0.451201383493,0.001,2,9,"{'NN__hidden_layer_sizes': 2, 'km__n_clusters': 9, 'NN__alpha': 0.001}",37,0.481586402266,0.468660968661,0.475783475783,0.461647727273,0.407407407407,0.423295454545,0.00515427902032,7.20359115195e-06,0.0336719961552,0.019939107996
30,0.0694251060486,0.000505924224854,0.598104265403,0.59141360183,0.001,2,10,"{'NN__hidden_layer_sizes': 2, 'km__n_clusters': 10, 'NN__alpha': 0.001}",9,0.541076487252,0.532763532764,0.518518518519,0.521306818182,0.735042735043,0.720170454545,0.0117407867387,2.0600800111e-05,0.0971304570883,0.0911649034007
31,0.0725109577179,0.000438054402669,0.605687203791,0.601934138392,0.001,2,11,"{'NN__hidden_layer_sizes': 2, 'km__n_clusters': 11, 'NN__alpha': 0.001}",5,0.651558073654,0.64245014245,0.635327635328,0.643465909091,0.529914529915,0.519886363636,0.00429288865728,1.01308415603e-05,0.0539123297448,0.058018019915
32,0.0668121178945,0.000458637873332,0.611374407583,0.610490589657,0.001,2,12,"{'NN__hidden_layer_sizes': 2, 'km__n_clusters': 12, 'NN__alpha': 0.001}",1,0.685552407932,0.678062678063,0.626780626781,0.632102272727,0.521367521368,0.521306818182,0.00308397299365,4.01230127187e-05,0.0679362966911,0.0657946225543
33,0.0268540382385,0.000367641448975,0.478672985782,0.478672947423,0.0001,2,2,"{'NN__hidden_layer_sizes': 2, 'km__n_clusters': 2, 'NN__alpha': 0.0001}",33,0.478753541076,0.478632478632,0.478632478632,0.478693181818,0.478632478632,0.478693181818,0.000640453221872,1.27652314537e-06,5.71232470904e-05,2.86157561669e-05
34,0.0387409528097,0.000384092330933,0.403791469194,0.399917983251,0.0001,2,3,"{'NN__hidden_layer_sizes': 2, 'km__n_clusters': 3, 'NN__alpha': 0.0001}",41,0.320113314448,0.31339031339,0.307692307692,0.313920454545,0.584045584046,0.572443181818,0.00490680903921,1.48815980285e-05,0.127378797018,0.121993929816
35,0.0435222784678,0.000389575958252,0.488151658768,0.472545972546,0.0001,2,4,"{'NN__hidden_layer_sizes': 2, 'km__n_clusters': 4, 'NN__alpha': 0.0001}",29,0.501416430595,0.508547008547,0.441595441595,0.403409090909,0.521367521368,0.505681818182,0.000289163657293,1.73024662789e-06,0.0338683513081,0.0489011494808
36,0.0465146700541,0.000395059585571,0.521327014218,0.521327052577,0.0001,2,5,"{'NN__hidden_layer_sizes': 2, 'km__n_clusters': 5, 'NN__alpha': 0.0001}",17,0.521246458924,0.521367521368,0.521367521368,0.521306818182,0.521367521368,0.521306818182,0.000228839805285,1.48407985054e-05,5.71232470904e-05,2.86157561669e-05
37,0.0470106601715,0.000383694966634,0.521327014218,0.521327052577,0.0001,2,6,"{'NN__hidden_layer_sizes': 2, 'km__n_clusters': 6, 'NN__alpha': 0.0001}",17,0.521246458924,0.521367521368,0.521367521368,0.521306818182,0.521367521368,0.521306818182,0.00355629596668,7.79968525339e-06,5.71232470904e-05,2.86157561669e-05
38,0.0583019256592,0.000422716140747,0.509952606635,0.518960977294,0.0001,2,7,"{'NN__hidden_layer_sizes': 2, 'km__n_clusters': 7, 'NN__alpha': 0.0001}",25,0.532577903683,0.522792022792,0.415954415954,0.480113636364,0.581196581197,0.553977272727,0.00351015487234,1.12857057316e-05,0.0692792331654,0.0302761388602
39,0.0625001589457,0.000445206960042,0.529857819905,0.539752492877,0.0001,2,8,"{'NN__hidden_layer_sizes': 2, 'km__n_clusters': 8, 'NN__alpha': 0.0001}",13,0.478753541076,0.478632478632,0.478632478632,0.478693181818,0.632478632479,0.661931818182,0.00826305944789,5.15253875479e-05,0.0724607423402,0.0863938329978
40,0.0632890065511,0.000411987304688,0.454976303318,0.451201383493,0.0001,2,9,"{'NN__hidden_layer_sizes': 2, 'km__n_clusters': 9, 'NN__alpha': 0.0001}",37,0.481586402266,0.468660968661,0.475783475783,0.461647727273,0.407407407407,0.423295454545,0.00594227165021,1.63254354684e-05,0.0336719961552,0.019939107996
