,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.492297458649,0.113265228271,0.547867298578,0.56327014218,0.1,6,2,"{'NN__hidden_layer_sizes': 6, 'filter__n': 2, 'NN__alpha': 0.1}",21,0.582938388626,0.588862559242,0.535545023697,0.600710900474,0.383886255924,0.343601895735,0.597156398104,0.638625592417,0.63981042654,0.644549763033,0.0641966791446,0.0067162919397,0.0884924361477,0.111888999759
1,0.531643104553,0.11664223671,0.660663507109,0.691706161137,0.1,6,3,"{'NN__hidden_layer_sizes': 6, 'filter__n': 3, 'NN__alpha': 0.1}",1,0.696682464455,0.714454976303,0.672985781991,0.721563981043,0.530805687204,0.54028436019,0.701421800948,0.735781990521,0.701421800948,0.74644549763,0.0670136946843,0.00977747278109,0.0657795320299,0.0765201065065
2,0.529420948029,0.114551639557,0.587677725118,0.581279620853,0.1,6,4,"{'NN__hidden_layer_sizes': 6, 'filter__n': 4, 'NN__alpha': 0.1}",13,0.57345971564,0.559241706161,0.635071090047,0.599526066351,0.682464454976,0.661137440758,0.488151658768,0.531990521327,0.559241706161,0.554502369668,0.0809813034746,0.00891407705149,0.0665535153803,0.0454803482185
3,0.519799613953,0.119186353683,0.521327014218,0.521327014218,0.1,6,5,"{'NN__hidden_layer_sizes': 6, 'filter__n': 5, 'NN__alpha': 0.1}",29,0.521327014218,0.521327014218,0.521327014218,0.521327014218,0.521327014218,0.521327014218,0.521327014218,0.521327014218,0.521327014218,0.521327014218,0.065639787805,0.00724769208622,0.0,0.0
4,0.492589187622,0.112992238998,0.496682464455,0.501658767773,0.1,6,6,"{'NN__hidden_layer_sizes': 6, 'filter__n': 6, 'NN__alpha': 0.1}",33,0.45971563981,0.476303317536,0.450236966825,0.477488151659,0.601895734597,0.613744075829,0.507109004739,0.46327014218,0.464454976303,0.477488151659,0.0768328038921,0.00754534639338,0.0561086202349,0.0562994477423
5,0.516609430313,0.116270208359,0.43317535545,0.425592417062,0.1,6,7,"{'NN__hidden_layer_sizes': 6, 'filter__n': 7, 'NN__alpha': 0.1}",37,0.398104265403,0.432464454976,0.345971563981,0.380331753555,0.568720379147,0.524881516588,0.412322274882,0.370853080569,0.440758293839,0.419431279621,0.0829232757684,0.0087832016222,0.0744302196375,0.0547511322717
6,0.538406467438,0.117081356049,0.531753554502,0.515165876777,0.1,6,8,"{'NN__hidden_layer_sizes': 6, 'filter__n': 8, 'NN__alpha': 0.1}",25,0.54028436019,0.539099526066,0.545023696682,0.53317535545,0.488151658768,0.49644549763,0.54028436019,0.471563981043,0.545023696682,0.535545023697,0.0513974445169,0.00969502013845,0.0219037346129,0.0266984959374
7,0.508309936523,0.120099830627,0.605687203791,0.602132701422,0.1,6,9,"{'NN__hidden_layer_sizes': 6, 'filter__n': 9, 'NN__alpha': 0.1}",8,0.630331753555,0.633886255924,0.625592417062,0.640995260664,0.436018957346,0.428909952607,0.620853080569,0.630331753555,0.715639810427,0.67654028436,0.0610064496261,0.00571661502962,0.091771961649,0.0881548437482
8,0.477116203308,0.11605219841,0.554502369668,0.55971563981,0.1,6,10,"{'NN__hidden_layer_sizes': 6, 'filter__n': 10, 'NN__alpha': 0.1}",17,0.568720379147,0.577014218009,0.530805687204,0.562796208531,0.597156398104,0.550947867299,0.521327014218,0.561611374408,0.554502369668,0.546208530806,0.0599333998168,0.00944351213708,0.0271427887455,0.0106924304954
9,0.436324357986,0.124044418335,0.602843601896,0.581042654028,0.1,6,11,"{'NN__hidden_layer_sizes': 6, 'filter__n': 11, 'NN__alpha': 0.1}",9,0.649289099526,0.625592417062,0.625592417062,0.553317535545,0.488151658768,0.54028436019,0.60663507109,0.524881516588,0.644549763033,0.661137440758,0.0209272339301,0.00144177148195,0.0593004448137,0.0528844973841
10,0.484930038452,0.118384981155,0.547867298578,0.563033175355,0.01,6,2,"{'NN__hidden_layer_sizes': 6, 'filter__n': 2, 'NN__alpha': 0.01}",21,0.582938388626,0.588862559242,0.535545023697,0.600710900474,0.383886255924,0.343601895735,0.597156398104,0.638625592417,0.63981042654,0.64336492891,0.0632641849689,0.005038049537,0.0884924361477,0.111717732401
11,0.494501209259,0.113574981689,0.660663507109,0.691706161137,0.01,6,3,"{'NN__hidden_layer_sizes': 6, 'filter__n': 3, 'NN__alpha': 0.01}",1,0.696682464455,0.714454976303,0.672985781991,0.721563981043,0.530805687204,0.54028436019,0.701421800948,0.735781990521,0.701421800948,0.74644549763,0.0830304407706,0.00857037614125,0.0657795320299,0.0765201065065
12,0.457667207718,0.123985004425,0.587677725118,0.581279620853,0.01,6,4,"{'NN__hidden_layer_sizes': 6, 'filter__n': 4, 'NN__alpha': 0.01}",13,0.57345971564,0.559241706161,0.635071090047,0.599526066351,0.682464454976,0.661137440758,0.488151658768,0.531990521327,0.559241706161,0.554502369668,0.0219910510179,0.00574012638135,0.0665535153803,0.0454803482185
13,0.484962129593,0.12229757309,0.521327014218,0.521327014218,0.01,6,5,"{'NN__hidden_layer_sizes': 6, 'filter__n': 5, 'NN__alpha': 0.01}",29,0.521327014218,0.521327014218,0.521327014218,0.521327014218,0.521327014218,0.521327014218,0.521327014218,0.521327014218,0.521327014218,0.521327014218,0.0563102094061,0.00562589133827,0.0,0.0
14,0.475926351547,0.122485637665,0.496682464455,0.501421800948,0.01,6,6,"{'NN__hidden_layer_sizes': 6, 'filter__n': 6, 'NN__alpha': 0.01}",33,0.45971563981,0.476303317536,0.450236966825,0.477488151659,0.601895734597,0.613744075829,0.507109004739,0.462085308057,0.464454976303,0.477488151659,0.0687787265956,0.00810631089873,0.0561086202349,0.0564627850058
15,0.438692998886,0.119418334961,0.43317535545,0.425592417062,0.01,6,7,"{'NN__hidden_layer_sizes': 6, 'filter__n': 7, 'NN__alpha': 0.01}",37,0.398104265403,0.432464454976,0.345971563981,0.380331753555,0.568720379147,0.524881516588,0.412322274882,0.370853080569,0.440758293839,0.419431279621,0.0137280791733,0.00562767080148,0.0744302196375,0.0547511322717
16,0.499770402908,0.125941419601,0.531753554502,0.515165876777,0.01,6,8,"{'NN__hidden_layer_sizes': 6, 'filter__n': 8, 'NN__alpha': 0.01}",25,0.54028436019,0.539099526066,0.545023696682,0.53317535545,0.488151658768,0.49644549763,0.54028436019,0.471563981043,0.545023696682,0.535545023697,0.0793991344856,0.00477279439041,0.0219037346129,0.0266984959374
17,0.502467250824,0.120342350006,0.614218009479,0.617298578199,0.01,6,9,"{'NN__hidden_layer_sizes': 6, 'filter__n': 9, 'NN__alpha': 0.01}",5,0.672985781991,0.70971563981,0.625592417062,0.640995260664,0.436018957346,0.428909952607,0.620853080569,0.630331753555,0.715639810427,0.67654028436,0.0588279559742,0.00596522231486,0.0955702216077,0.0982569729821
18,0.47725520134,0.120002985001,0.554502369668,0.55971563981,0.01,6,10,"{'NN__hidden_layer_sizes': 6, 'filter__n': 10, 'NN__alpha': 0.01}",17,0.568720379147,0.577014218009,0.530805687204,0.562796208531,0.597156398104,0.550947867299,0.521327014218,0.561611374408,0.554502369668,0.546208530806,0.0607119657336,0.00726125117261,0.0271427887455,0.0106924304954
19,0.501859426498,0.121204996109,0.601895734597,0.580805687204,0.01,6,11,"{'NN__hidden_layer_sizes': 6, 'filter__n': 11, 'NN__alpha': 0.01}",10,0.649289099526,0.625592417062,0.625592417062,0.553317535545,0.488151658768,0.54028436019,0.60663507109,0.524881516588,0.63981042654,0.659952606635,0.0628531926596,0.00938519250242,0.0586606576181,0.052526517704
20,0.482479190826,0.117475223541,0.547867298578,0.563033175355,0.001,6,2,"{'NN__hidden_layer_sizes': 6, 'filter__n': 2, 'NN__alpha': 0.001}",21,0.582938388626,0.588862559242,0.535545023697,0.600710900474,0.383886255924,0.343601895735,0.597156398104,0.638625592417,0.63981042654,0.64336492891,0.0358002308714,0.0079896020558,0.0884924361477,0.111717732401
21,0.475056600571,0.117173242569,0.660663507109,0.691706161137,0.001,6,3,"{'NN__hidden_layer_sizes': 6, 'filter__n': 3, 'NN__alpha': 0.001}",1,0.696682464455,0.714454976303,0.672985781991,0.721563981043,0.530805687204,0.54028436019,0.701421800948,0.735781990521,0.701421800948,0.74644549763,0.0363312165746,0.00841510712617,0.0657795320299,0.0765201065065
